Domaine	Endpoint/source	Chemin JSON exact	Type	Exemple réel	Disponible avant match ?	Disponible en direct ?	Disponible après match ?	Historique accessible ?	Fiabilité/complétude	Déjà stocké dans le projet ?	Déjà utilisé par le moteur ?
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	paging.total	int	1	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	parameters.fixture	str	1379344	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	response[].statistics[].type	str	Shots on Goal	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	response[].statistics[].value	int	3	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	response[].team.id	int	50	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	response[].team.logo	str	https://media.api-sports.io/football/teams/50.png	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	response[].team.name	str	Manchester City	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	results	int	2	non	non	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	errors	array	[]	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	get	str	fixtures/events	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	paging.current	int	1	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	paging.total	int	1	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	parameters.fixture	str	1379344	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].assist.id	null		non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].assist.name	null		non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].comments	null		non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].detail	str	Normal Goal	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].player.id	int	19281	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].player.name	str	A. Semenyo	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].team.id	int	50	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].team.logo	str	https://media.api-sports.io/football/teams/50.png	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].team.name	str	Manchester City	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].time.elapsed	int	23	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].time.extra	null		non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	response[].type	str	Goal	non	oui	oui	oui	bonne	non	non
Événements du match	/fixtures/events?fixture=1379344	results	int	16	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	errors	array	[]	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	get	str	fixtures/lineups	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	paging.current	int	1	non	oui	oui	oui	bonne	non	non
Compositions et formations	/fixtures/lineups?fixture=1379344	paging.total	int	1	non	oui	oui	oui	bonne	non	non
